Structure,ZPrior,MuPrior,SigmaPrior,Parameter,True,PosteriorMean,Bias,MSE,RMSE,Lower95CrI,Upper95CrI,Coverage,ESS_Bulk,Rhat,Divergences,ElapsedSeconds
Independent,Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,mu_omega,0.5,0.3148422031173021,-0.1851577968826979,0.03428340974645441,0.1851577968826979,0.11449420241216439,0.5113910676270685,True,2434.0,1.0,0,42.18954396247864
Independent,Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,sigma_omega,1.0,1.25045686837017,0.25045686837017,0.06272864291379267,0.25045686837017,0.7116758213239327,1.6338936010916196,True,1216.0,1.01,0,42.18954396247864
Independent,Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,sigma_direct,1.2,1.2015346482608915,0.001534648260891558,2.355145284657483e-06,0.001534648260891558,0.710061091114372,1.6207242856226542,True,1343.0,1.0,0,42.18954396247864
Independent,Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,sigma_collateral,0.8,0.8305361043834052,0.03053610438340515,0.0009324536709142152,0.03053610438340515,0.34960136248157564,1.2867590580395125,True,1467.0,1.0,0,42.18954396247864
Independent,Beta_1_1_constrained,"N(0,10²)",HalfNormal_sigma2,Z,,0.9476078872387538,,,,0.9411376831721007,0.9499439961690974,,1722.0,1.0,0,42.18954396247864
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta1,mu_omega,0.5,0.3150429246391998,-0.1849570753608002,0.03420911972602072,0.1849570753608002,0.11822469123524493,0.5090456091308454,True,2624.0,1.0,0,44.95133113861084
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta1,sigma_omega,1.0,1.2079441685472503,0.20794416854725029,0.04324077723280723,0.20794416854725029,0.5320557223015068,1.6051057258056276,True,1189.0,1.0,0,44.95133113861084
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta1,sigma_direct,1.2,1.2332578044627898,0.03325780446278981,0.0011060815576851618,0.03325780446278981,0.7465187361633275,1.6720858914217185,True,1194.0,1.01,0,44.95133113861084
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta1,sigma_collateral,0.8,0.8441723330694934,0.04417233306949331,0.001951195008802252,0.04417233306949331,0.36134451058443456,1.2966248115804788,True,1397.0,1.0,0,44.95133113861084
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta1,Z,,0.9450027052824489,,,,0.9360327820663565,0.9494177051111058,,2207.0,1.0,0,44.95133113861084
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta2p5,mu_omega,0.5,0.31444510814684007,-0.18555489185315993,0.03443061789063788,0.18555489185315993,0.12494579435322582,0.5095999662779983,True,2396.0,1.0,0,43.20681285858154
Independent,Beta_2_2_constrained,"N(0,2²)",HalfCauchy_beta2p5,sigma_omega,1.0,1.2359101970326847,0.23591019703268468,0.055653621064000104,0.23591019703268468,0.6269576215290562,1.6074602456745524,True,990.0,1.0,0,43.20681285858154
